Woodland House School,"Panchkula Sector 8, Panchkula - 134109, Opposite Kothi No-793","+(91)-172-2565711 , 2571591",,,5.0,"Schools , Kindergartens , Nursery Schools , Pre Nursery Schools"
The British School,"Mohali, Chandigarh - 160062, Sector-70","+(91)-172-4653000 , 5096000",http://www.thebritishschool.org,,3.5,"Schools , CBSE Schools , English Medium Schools"
University Business School,"Chandigarh Sector 14, Chandigarh - 160014, Arts Block-3,Punjab University","+(91)-172-2542978 , 2534709 , 2534818 , 2534866 , 18001802064",http://www.ubs.puchd.ac.in,,3.6,"Schools , MBA Institutes , Management Institutes"
Shishu Niketan Public School Sec Fourty Three A,"Chandigarh Sector 43, Chandigarh - 160047, Sec-43a","+(91)-172-2648966 , 6543966",http://www.shishuniketan.com,,4.5,"Schools , CBSE Schools , English Medium Schools"
Banyan Tree School,"Chandigarh Sector 48, Chandigarh - 160047, Sec-48b,Opp Kindra Vihar","+(91)-172-4602452 , 4602453 , 4602451 , 4602458",http://www.banyantree.in,,3.5,"Schools , CBSE Schools , English Medium Schools"
Hallmark Public School,"Panchkula Sector 15, Panchkula - 134113","+(91)-172-2593994 , 2593093",http://www.hallmarkpublicschool.com,,4.4,"Schools , CBSE Schools"
Tender Heart School,"Chandigarh Sector 33, Chandigarh - 160020, Sector-33 B, Opposite Terrace Garden","+(91)-172-2607524 , +(91)-9316009612 , 2609622",,,4.2,"Schools , English Medium Schools , ICSE Schools"
Jawahar Navodaya School,"Chandigarh, Chandigarh - 160001, Sector 25, Near Punjab University",+(91)-172-2710236,,,4.9,"Schools , CBSE Schools , Boarding Schools , English Medium Schools"
Bhavan Vidyalaya,"Sector -15, Panchkula, Panchkula - 134109",+(91)-172-2578275,,,4.7,"Schools , CBSE Schools , English Medium Schools"
Paragon Senior Secondary School,"Sector 71, Mohali, Mohali, Chandigarh - 160062, Near IVY Hospital","+(91)-172-2227869 , +(91)-9915519652 , 9855953220 , 5097142",http://www.paragonmohali.com,,4.0,"Schools , CBSE Schools , English Medium Schools , Convent Schools"
Prayaas School For Special Children,"Chandigarh Sector 38c, Chandigarh - 160036, Sec-38",+(91)-172-2690872,,,4.6,"Schools , Special Schools , Voluntary Organisations"
Small Wonders School,"Mohali Sas Nagar, Mohali - 160055, Opposite House Number- 2900, Phase- 7","+(91)-172-2274834 , +(91)-9914735104 , 2274827",http://www.smallwondersschool.com,,4.3,"Schools , Playgroups , English Medium Schools , Nursery Schools"
Euro Kids,"Chandigarh Sector 37d, Chandigarh - 160036, Opposite House No 3048, Behind Community Center","+(91)-172-4668354 , 4658354 , 4617354",http://www.eurokidsindia.com,,4.1,"Schools , Playgroups , Nursery Schools"
D.C MONTESSORI SMART SCHOOL,"Manimajra, Mani Majra, Chandigarh - 160101, Near Modern Housing Complex","+(91)-9855503267 , 9914503290 , 9855503268",,,4.6,"Schools , CBSE Schools , School Co Education"
tiny tots' Foundation School,"Plot No .-5, Nr. Niper, Phase-10, Mohali, Mohali, Chandigarh - 160062",+(91)-172-4982879,http://www.tinytotsmohali.com,1983,5.0,"Schools , Playgroups , Kindergartens"
Kidzee,"Panchkula Sector 12a, Panchkula - 134112, Opposite House Number - 475",+(91)-172-4983424,http://www.kidzee.com,2013,4.5,"Schools , Playgroups , English Medium Schools , Day Care Centres , Nursery Schools , Kindergartens , Summer Camps , School Co Education , Kindergarten Co Ordinator , Day Nurseries, Nursery Schools & Kindergardens"
Atticus International,"Atticus Complex, Zirakpur Patiala Road, Zirakpur Ho, Zirakpur - 140603, Opposite Honda Showroom",+(91)-172-4981162,http://www.atticusinternational.in,2015,3.5,"Schools , Playgroups , English Medium Schools , Day Care Centres , Nursery Schools , Baby Sitters , Kindergartens , Pre Nursery Schools , Day Nurseries, Nursery Schools & Kindergardens , Child Development Centres"
D C Montessori Senior Secondary Smart School,"Pocket Number 2 & 3, Mani Majra, Chandigarh - 160101, Near Modern Housing Complex",+(91)-172-4986259,http://www.dcmschd.edu.in,2008,4.7,"Schools , CBSE Schools , English Medium Schools , High School , Senior Secondary Schools , Montessori Schools , Primary Schools , School Co Education"
Shemrock Foundation School,"VIP Road Interlink Logarh Road, Zirakpur Ho, Zirakpur - 140603",+(91)-172-4986251,,Nursery To Vth,3.8,"Schools , Playgroups , English Medium Schools , Day Care Centres , Nursery Schools , Kindergartens , Creche , Summer Camps , Summer Camp For Children , Day Nurseries, Nursery Schools & Kindergardens"
St. Soldiers School,"Panchkula Sector 16, Panchkula - 134109",+(91)-172-4982225,http://www.saintsoldierschool.com,1984,4.5,"Schools , CBSE Schools , Playgroups , English Medium Schools , Nursery Schools , Kindergartens , Senior Secondary Schools , School For Girls , Primary Schools , School Co Education"
Sherwood Convent School,"Phase-IV, Mohali Chandigarh, Chandigarh - 160059, SAS Nagar",+(91)-172-4981941,,1. Summer Camp,4.7,"Schools , CBSE Schools , Boarding Schools , Playgroups , English Medium Schools , Convent Schools , Nursery Schools , CBSE Boarding Schools , Public Schools , Pre Nursery Schools , Primary Schools"
St Joseph School,"CBSE Based On Convent Pattern, Village Manauli Surat, Lalru, Mohali - 140501, Banur Road",+(91)-172-4983322,http://www.sjsambala.com,2013,3.5,"Schools , CBSE Schools , Playgroups , English Medium Schools , Convent Schools , Nursery Schools"
Stepping stones senior secondary school,"Sector -37/D, Chandigarh Sector 37d, Chandigarh - 160036",+(91)-172-4984879,http://www.steppingstoneschd.org,1984,4.6,"Schools , CBSE Schools , Boarding Schools"
Euro Kids,"Panchkula Sector 9, Panchkula - 134109, Opposite House No 988",+(91)-172-4983645,http://www.eurokidsindia.com,Duplicate With Paid,4.3,"Schools , Playgroups , English Medium Schools , Nursery Schools , Kindergartens , Creche , Activity Clubs , Day Boarding Schools , Pre Nursery Schools , Day Nurseries, Nursery Schools & Kindergardens"
Sanjivni Preparatory School And Child Care Centre,"House Number 44, Chandigarh Sector 11, Chandigarh - 160011",+(91)-172-4984747,,1984,4.5,"Schools , Playgroups , Day Care Centres , Day Boarding Schools"
Saint Soldier International School,"Chandigarh Sector 28b, Chandigarh - 160102",+(91)-172-4982385,http://www.ssis.ac.in,1973,4.1,"Schools , CBSE Schools"
Holy Faith Preparatory A Fun School,"Scf-75, Top Floor, Main Market, Chandigarh Sector 38c, Chandigarh - 160036, Near Gobind Sweets & Gul...",+(91)-172-4985112,,1995,5.0,"Schools , Playgroups , Nursery Schools , Pre Nursery Schools"
CRB Public School,"1808, Chandigarh Sector 7b, Chandigarh - 160019",+(91)-172-4981935,http://www.crbpublicschool.ztc.in,2005,4.5,"Schools , CBSE Schools , Playgroups , English Medium Schools , Kindergartens"
The British School,"Sector 12, Sector 8, Panchkula, Chandigarh - 134109",+(91)-172-4984352,http://www.thebritishschool.org,2005,4.9,"Schools , CBSE Schools , Playgroups , English Medium Schools , International Schools , Convent Schools , Nursery Schools , Kindergartens , High School , Public Schools , Montessori Schools , Pre Nursery Schools , IGCSE Schools , Primary Schools"
