JG International School,"Jg Campus Of Excellence, Sola Road, Ahmedabad - 380061, Opposite Gulab Tower, Off Sola Road","+(91)-79-27492315 , +(91)-9724689345 , 27499315 , 65416438 , 65411315 , 65412315",http://www.jgcampusindia.com,,3.4,"Schools , English Medium Schools , ICSE Schools , Nursery Schools , Kindergartens , IGCSE Schools"
ST Xaviers School,"Hansol, Ahmedabad - 382475, Near Indira Bridge, Near Sardarnagar","+(91)-79-22869727 , +(91)-9712397131",,,3.9,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools"
Kendriya Vidyalaya,"Isro Colony, Vastrapur, Ahmedabad - 380015, Near Blind School","+(91)-79-26309021 , +(91)-9429208374 , 26304694",http://www.kvsac.org,,4.0,"Schools , CBSE Schools , English Medium Schools"
Mahatma Gandhi International School,"Sheth Motilal Hirabhai Bhavan, Ellis Bridge, Ahmedabad - 380006, Nr Mithakhali Bus Stop, Mithakhali","+(91)-79-26463888 , 26460740",http://www.mgis.in,,4.0,"Schools , English Medium Schools , Kindergartens , IGCSE Schools , Schools For Higher Secondary"
Anand Niketan School,"33/A, Jagabhai Park, Maninagar, Ahmedabad - 380008, Rambaug","+(91)-79-25434001 , +(91)-9924052800 , 9924051800",http://www.anandniketan.org,,4.2,"Schools , CBSE Schools , Playgroups , English Medium Schools , Kindergartens , Nursery Schools"
ST Xaviers School,"Mirzapur Road, Mirzapur, Ahmedabad - 380001, Near Three Corner Garden","+(91)-79-25623258 , 25627104",,,4.1,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools"
Army Public School,"Ahmedabad Cantonment, Ahmedabad - 380004, Near Hanuman Camp, Cantonment Area, Shahibaug",+(91)-79-22862543,http://www.apsahmedabad.in,,3.8,"Schools , CBSE Schools , English Medium Schools"
H B Kapadia New High School,"Shri N H Kapadia Chowk, Shahibaug Road, Shahibaug, Ahmedabad - 380004, Outside Delhi Darwaja","+(91)-79-25623789 , +(91)-9687486586",http://www.hbkapadia.com,,4.3,"Schools , Gujarati Medium Schools , Gseb Schools , Schools For Higher Secondary"
Sheth C L Hindi High School,"Rakhial Road, Ahmedabad - 380023, Beside Methodist Church, Opposite Sonaria Block","+(91)-79-22770340 , +(91)-9898107812 , 9824252395 , 9426396668 , 9898754400 , 22730542 , 22770542",,,3.8,"Schools , Playgroups , Hindi Medium Schools , Kindergartens"
Amrit Jyoti Primary School,"5, Hirabaug Society, Bhudarpura Road, Ahmedabad - 380015, Near Chhadavad Police Chowky","+(91)-79-26445719 , 26408385",http://www.amritjyoti.ac.in,,4.0,"Schools , English Medium Schools , Kindergartens , Gseb Schools , Nursery Schools"
Sanskardham,"Bopal Ambli Road, Bopal, Ahmedabad - 380058, Near Manipur, Post Godhavi","+(91)-2717-324399 , 324844 , 324073 , 324926",http://www.sanskardham.org,,4.3,"Schools , English Medium Schools , Gujarati Medium Schools , Gseb Schools"
Little Flower English Medium School,"Ashok Nagar Society, Paldi, Ahmedabad - 380007, Near Bhattha Bus Stop","+(91)-79-26636742 , +(91)-9624750700 , 26636749 , 26631862 , 65498872",,,4.3,"Schools , Playgroups , English Medium Schools , Gseb Schools"
